season,team_id,team_name,stolen_bases,caught_stealing,sb_success_rate
2015,144,Atlanta Braves,69,33,.676
2015,120,Washington Nationals,57,23,.713
2015,147,New York Yankees,63,25,.716
2015,133,Oakland Athletics,78,29,.729
2015,119,Los Angeles Dodgers,59,34,.634
2015,110,Baltimore Orioles,44,25,.638
2015,117,Houston Astros,121,48,.716
2015,145,Chicago White Sox,68,42,.618
2015,136,Seattle Mariners,69,45,.605
2015,143,Philadelphia Phillies,88,32,.733
2015,113,Cincinnati Reds,134,38,.779
2015,142,Minnesota Twins,70,38,.648
2015,108,Los Angeles Angels,52,34,.605
2015,121,New York Mets,51,25,.671
2015,112,Chicago Cubs,95,37,.720
2015,135,San Diego Padres,82,29,.739
2024,135,San Diego Padres,120,28,.811
2024,109,Arizona Diamondbacks,119,30,.799
2024,117,Houston Astros,93,24,.795
2024,119,Los Angeles Dodgers,136,23,.855
2024,143,Philadelphia Phillies,148,30,.831
2024,111,Boston Red Sox,144,44,.766
2024,110,Baltimore Orioles,98,25,.797
2024,158,Milwaukee Brewers,217,42,.838
2024,147,New York Yankees,88,26,.772
2024,118,Kansas City Royals,134,31,.812
2024,138,St. Louis Cardinals,91,29,.758
2024,121,New York Mets,106,22,.828
2024,142,Minnesota Twins,65,23,.739
2024,146,Miami Marlins,125,43,.744
2024,144,Atlanta Braves,69,20,.775
2024,120,Washington Nationals,223,73,.753
2024,112,Chicago Cubs,143,30,.827
2024,115,Colorado Rockies,85,31,.733
2024,141,Toronto Blue Jays,72,16,.818
2024,137,San Francisco Giants,68,22,.756
2024,140,Texas Rangers,97,25,.795
2024,114,Cleveland Guardians,148,46,.763
2024,134,Pittsburgh Pirates,106,19,.848
2024,116,Detroit Tigers,76,24,.760
2024,133,Oakland Athletics,98,26,.790
2024,113,Cincinnati Reds,207,45,.821
2024,139,Tampa Bay Rays,178,53,.771
2024,108,Los Angeles Angels,133,50,.727
2024,136,Seattle Mariners,140,28,.833
2024,145,Chicago White Sox,90,33,.732
