year,game_datetime,game_pk,position,AB,OBP,SLG,OPS
2014,2014-04-16T16:35:00Z,380758,P,4,0.25,0.25,0.5
2014,2014-04-16T17:10:00Z,380760,P,2,0.0,0.0,0.0
2014,2014-04-16T23:05:00Z,380749,P,2,0.0,0.0,0.0
2014,2014-04-16T19:40:00Z,380756,P,1,0.0,0.0,0.0
2014,2014-04-16T23:10:00Z,380763,P,2,0.0,0.0,0.0
2014,2014-04-17T02:15:00Z,380755,P,2,0.0,0.0,0.0
2014,2014-04-17T22:40:00Z,380767,P,2,0.0,0.0,0.0
2014,2014-04-17T17:05:00Z,380764,P,2,0.5,0.5,1.0
2014,2014-04-17T19:45:00Z,380769,P,1,0.0,0.0,0.0
2014,2014-04-17T02:10:00Z,380753,P,1,1.0,1.0,2.0
2014,2014-04-17T23:05:00Z,380773,P,2,0.0,0.0,0.0
2014,2014-04-17T23:05:00Z,380770,P,2,0.0,0.0,0.0
2014,2014-04-18T18:20:00Z,380780,P,2,0.0,0.0,0.0
2014,2014-04-18T23:05:00Z,380788,P,2,0.0,0.0,0.0
2014,2014-04-18T23:05:00Z,380782,P,1,0.0,0.0,0.0
2014,2014-04-18T23:10:00Z,380777,P,0,1.0,,
2014,2014-04-18T23:10:00Z,380786,P,2,0.5,0.5,1.0
2014,2014-04-19T00:40:00Z,380785,P,3,0.0,0.0,0.0
2014,2014-04-19T02:10:00Z,380776,P,2,0.0,0.0,0.0
2014,2014-04-19T02:10:00Z,380787,P,2,0.0,0.0,0.0
2014,2014-04-19T17:05:00Z,380803,P,2,0.0,0.0,0.0
2014,2014-04-19T18:20:00Z,380795,P,2,0.0,0.0,0.0
2014,2014-04-19T23:05:00Z,380797,P,1,0.0,0.0,0.0
2014,2014-04-19T23:10:00Z,380801,P,2,0.5,0.5,1.0
2014,2014-04-19T23:10:00Z,380792,P,2,0.0,0.0,0.0
2014,2014-04-20T00:10:00Z,380791,P,2,0.667,0.5,1.167
2014,2014-04-20T00:40:00Z,380802,P,1,0.0,0.0,0.0
2014,2014-04-20T00:10:00Z,380800,P,3,0.0,0.0,0.0
2014,2014-04-20T17:10:00Z,380807,P,2,0.0,0.0,0.0
2014,2014-04-20T17:35:00Z,380818,P,1,0.5,0.0,0.5
2014,2014-04-20T17:10:00Z,380816,P,1,0.0,0.0,0.0
2014,2014-04-20T18:20:00Z,380810,P,1,0.0,0.0,0.0
2014,2014-04-20T17:35:00Z,380812,P,3,0.667,0.667,1.333
2014,2014-04-20T20:10:00Z,380806,P,2,0.0,0.0,0.0
2014,2014-04-20T20:10:00Z,380817,P,2,0.0,0.0,0.0
2014,2014-04-20T20:10:00Z,380815,P,2,0.0,0.0,0.0
2014,2014-04-21T23:05:00Z,380824,P,3,0.0,0.0,0.0
2014,2014-04-21T23:05:00Z,380820,P,2,0.0,0.0,0.0
2014,2014-04-21T23:10:00Z,380831,P,3,0.0,0.0,0.0
2014,2014-04-21T23:10:00Z,380827,P,2,0.0,0.0,0.0
2014,2014-04-22T00:05:00Z,380821,P,3,0.667,2.0,2.667
2014,2014-04-22T00:10:00Z,380829,P,2,0.5,1.0,1.5
2014,2014-04-22T00:40:00Z,380830,P,2,0.0,0.0,0.0
2014,2014-04-22T02:10:00Z,380828,P,1,0.0,0.0,0.0
2014,2014-04-22T23:05:00Z,380837,P,2,0.0,0.0,0.0
2014,2014-04-22T23:05:00Z,380833,P,1,1.0,1.0,2.0
2014,2014-04-22T23:10:00Z,380846,P,1,0.0,0.0,0.0
2014,2014-04-22T23:10:00Z,380840,P,2,0.0,0.0,0.0
2014,2014-04-23T00:05:00Z,380834,P,3,0.0,0.0,0.0
2014,2014-04-23T00:10:00Z,380844,P,3,0.0,0.0,0.0
2014,2014-04-23T00:40:00Z,380845,P,3,0.0,0.0,0.0
2014,2014-04-23T02:10:00Z,380843,P,1,0.0,0.0,0.0
2014,2014-04-23T16:10:00Z,380855,P,2,0.0,0.0,0.0
2014,2014-04-23T18:20:00Z,380849,P,2,0.0,0.0,0.0
2014,2014-04-23T19:10:00Z,380860,P,2,0.5,0.5,1.0
2014,2014-04-23T23:10:00Z,380861,P,2,0.333,0.0,0.333
2014,2014-04-23T23:05:00Z,380852,P,1,0.0,0.0,0.0
2014,2014-04-23T23:05:00Z,380848,P,2,0.5,0.5,1.0
2014,2014-04-24T00:10:00Z,380859,P,3,0.0,0.0,0.0
2014,2014-04-24T02:10:00Z,380858,P,2,0.667,1.0,1.667
2014,2014-04-24T16:35:00Z,380866,P,2,0.0,0.0,0.0
2014,2014-04-24T17:10:00Z,380873,P,2,0.0,0.0,0.0
2014,2014-04-24T18:20:00Z,380863,P,2,0.5,1.0,1.5
2014,2014-04-25T02:10:00Z,380871,P,3,0.333,0.333,0.667
2014,2014-04-24T23:05:00Z,380872,P,2,0.5,0.5,1.0
2014,2014-04-25T23:05:00Z,380886,P,3,0.0,0.0,0.0
2014,2014-04-25T23:10:00Z,380882,P,1,0.0,0.0,0.0
2014,2014-04-25T23:35:00Z,380877,P,2,0.5,0.5,1.0
2014,2014-04-26T00:10:00Z,380876,P,3,0.0,0.0,0.0
2014,2014-04-26T00:15:00Z,380885,P,1,0.5,0.0,0.5
