season,team_id,team_name,babip
2021,119,Los Angeles Dodgers,.284
2021,144,Atlanta Braves,.288
2021,138,St. Louis Cardinals,.287
2021,139,Tampa Bay Rays,.294
2021,135,San Diego Padres,.287
2021,116,Detroit Tigers,.300
2021,142,Minnesota Twins,.282
2021,143,Philadelphia Phillies,.286
2021,110,Baltimore Orioles,.290
2021,121,New York Mets,.291
2021,133,Oakland Athletics,.278
2021,114,Cleveland Indians,.282
2021,147,New York Yankees,.285
2021,112,Chicago Cubs,.296
2021,134,Pittsburgh Pirates,.290
2021,109,Arizona Diamondbacks,.295
2021,158,Milwaukee Brewers,.283
2021,146,Miami Marlins,.296
2021,140,Texas Rangers,.280
2021,136,Seattle Mariners,.273
2023,144,Atlanta Braves,.306
2023,140,Texas Rangers,.310
2023,139,Tampa Bay Rays,.308
2023,146,Miami Marlins,.308
2023,117,Houston Astros,.294
2023,111,Boston Red Sox,.310
2023,119,Los Angeles Dodgers,.294
2023,141,Toronto Blue Jays,.301
2023,143,Philadelphia Phillies,.308
2023,110,Baltimore Orioles,.305
2023,112,Chicago Cubs,.303
2023,120,Washington Nationals,.293
2023,114,Cleveland Guardians,.292
2023,109,Arizona Diamondbacks,.293
2023,138,St. Louis Cardinals,.291
2023,113,Cincinnati Reds,.306
2023,115,Colorado Rockies,.315
2023,108,Los Angeles Angels,.295
2023,118,Kansas City Royals,.296
2023,135,San Diego Padres,.283
2023,142,Minnesota Twins,.304
2023,136,Seattle Mariners,.301
2023,158,Milwaukee Brewers,.292
2023,134,Pittsburgh Pirates,.296
2023,121,New York Mets,.275
2023,145,Chicago White Sox,.289
2023,116,Detroit Tigers,.291
2023,137,San Francisco Giants,.290
2023,147,New York Yankees,.266
2023,133,Oakland Athletics,.276
2017,117,Houston Astros,.309
2017,115,Colorado Rockies,.332
2017,146,Miami Marlins,.313
2017,120,Washington Nationals,.311
2017,114,Cleveland Indians,.295
2017,144,Atlanta Braves,.305
2017,147,New York Yankees,.304
2017,110,Baltimore Orioles,.306
2017,142,Minnesota Twins,.306
2017,118,Kansas City Royals,.295
2017,136,Seattle Mariners,.300
2017,116,Detroit Tigers,.306
2017,111,Boston Red Sox,.300
2017,138,St. Louis Cardinals,.304
2017,145,Chicago White Sox,.309
2017,112,Chicago Cubs,.302
2017,109,Arizona Diamondbacks,.306
2017,113,Cincinnati Reds,.294
2017,121,New York Mets,.286
2017,143,Philadelphia Phillies,.304
2017,158,Milwaukee Brewers,.308
2017,119,Los Angeles Dodgers,.293
2017,137,San Francisco Giants,.294
2017,133,Oakland Athletics,.294
2017,139,Tampa Bay Rays,.296
2017,140,Texas Rangers,.291
2017,134,Pittsburgh Pirates,.286
2017,108,Los Angeles Angels,.277
2017,141,Toronto Blue Jays,.276
2017,135,San Diego Padres,.287
