year,game_datetime,game_pk,team_winner,team_loser,final_inning
2014,2014-06-21 20:05:00+00:00,381651,Oakland Athletics,Boston Red Sox,10
2014,2014-06-21 23:15:00+00:00,381653,Detroit Tigers,Cleveland Indians,10
2014,2014-06-22 02:05:00+00:00,381662,Los Angeles Angels,Texas Rangers,10
2014,2014-06-22 20:05:00+00:00,381666,Boston Red Sox,Oakland Athletics,10
2014,2014-06-25 00:10:00+00:00,381705,Washington Nationals,Milwaukee Brewers,16
2014,2014-06-25 01:40:00+00:00,381695,Arizona Diamondbacks,Cleveland Indians,14
2014,2014-06-25 23:05:00+00:00,381708,Baltimore Orioles,Chicago White Sox,12
2014,2014-06-26 23:05:00+00:00,381726,Philadelphia Phillies,Miami Marlins,14
2014,2014-06-27 23:05:00+00:00,381740,Pittsburgh Pirates,New York Mets,11
2014,2014-06-28 00:10:00+00:00,381738,Houston Astros,Detroit Tigers,11
2014,2014-06-28 20:10:00+00:00,381756,Oakland Athletics,Miami Marlins,14
2014,2014-06-29 02:05:00+00:00,381750,Cincinnati Reds,San Francisco Giants,11
2014,2014-06-30 23:05:00+00:00,381784,Tampa Bay Rays,New York Yankees,12
2014,2014-07-01 23:10:00+00:00,381796,Miami Marlins,Philadelphia Phillies,11
2014,2014-07-04 20:05:00+00:00,381839,Oakland Athletics,Toronto Blue Jays,12
2014,2014-07-05 18:10:00+00:00,381848,Minnesota Twins,New York Yankees,11
2014,2014-07-05 18:10:00+00:00,381850,Seattle Mariners,Chicago White Sox,14
2014,2014-07-05 23:15:00+00:00,381851,San Francisco Giants,San Diego Padres,10
2014,2014-07-06 17:35:00+00:00,381856,Baltimore Orioles,Boston Red Sox,12
2014,2014-07-07 23:05:00+00:00,381871,Baltimore Orioles,Washington Nationals,11
2014,2014-07-07 23:10:00+00:00,381870,New York Mets,Atlanta Braves,11
2014,2014-07-09 19:40:00+00:00,381905,Arizona Diamondbacks,Miami Marlins,10
2014,2014-07-09 23:05:00+00:00,381907,New York Yankees,Cleveland Indians,14
2014,2014-07-10 16:35:00+00:00,381917,Chicago Cubs,Cincinnati Reds,12
2014,2014-07-10 20:05:00+00:00,381916,Boston Red Sox,Chicago White Sox,10
2014,2014-07-11 23:05:00+00:00,381934,Baltimore Orioles,New York Yankees,10
2014,2014-07-12 23:15:00+00:00,381951,Pittsburgh Pirates,Cincinnati Reds,11
2014,2014-07-12 23:15:00+00:00,381955,Washington Nationals,Philadelphia Phillies,10
2014,2014-07-19 02:05:00+00:00,381983,Los Angeles Angels,Seattle Mariners,16
2014,2014-07-19 23:05:00+00:00,381991,Pittsburgh Pirates,Colorado Rockies,11
2014,2014-07-20 01:05:00+00:00,381998,Seattle Mariners,Los Angeles Angels,12
2014,2014-07-21 23:10:00+00:00,382024,Miami Marlins,Atlanta Braves,10
2014,2014-07-22 23:05:00+00:00,382042,New York Yankees,Texas Rangers,14
2014,2014-07-22 23:05:00+00:00,382040,San Francisco Giants,Philadelphia Phillies,14
2014,2014-07-23 02:05:00+00:00,382034,Houston Astros,Oakland Athletics,12
2014,2014-07-25 00:10:00+00:00,382062,Kansas City Royals,Cleveland Indians,14
2014,2014-07-26 02:10:00+00:00,382071,Baltimore Orioles,Seattle Mariners,10
2014,2014-07-26 23:05:00+00:00,382085,Arizona Diamondbacks,Philadelphia Phillies,10
2014,2014-07-27 20:10:00+00:00,382101,Baltimore Orioles,Seattle Mariners,10
2014,2014-07-28 23:10:00+00:00,382115,Arizona Diamondbacks,Cincinnati Reds,15
2014,2014-07-29 23:05:00+00:00,382125,Baltimore Orioles,Los Angeles Angels,12
2014,2014-07-30 00:05:00+00:00,382129,Chicago Cubs,Colorado Rockies,16
2014,2014-07-31 00:05:00+00:00,382144,Colorado Rockies,Chicago Cubs,10
2014,2014-07-31 02:10:00+00:00,382142,Los Angeles Dodgers,Atlanta Braves,10
2014,2014-07-31 23:05:00+00:00,382155,Los Angeles Angels,Baltimore Orioles,13
2014,2014-08-02 23:10:00+00:00,382184,Miami Marlins,Cincinnati Reds,10
2014,2014-08-03 00:40:00+00:00,382182,San Diego Padres,Atlanta Braves,12
2014,2014-08-03 01:10:00+00:00,382183,Los Angeles Dodgers,Chicago Cubs,12
2014,2014-08-03 17:05:00+00:00,382209,Cleveland Indians,Texas Rangers,12
2014,2014-08-03 20:10:00+00:00,382206,Arizona Diamondbacks,Pittsburgh Pirates,10
2014,2014-08-03 20:10:00+00:00,382197,San Diego Padres,Atlanta Braves,10
2014,2014-08-05 02:05:00+00:00,382215,Oakland Athletics,Tampa Bay Rays,10
2014,2014-08-05 23:05:00+00:00,382224,Philadelphia Phillies,Houston Astros,15
2014,2014-08-05 23:05:00+00:00,382223,Detroit Tigers,New York Yankees,12
2014,2014-08-06 00:40:00+00:00,382221,Chicago Cubs,Colorado Rockies,12
2014,2014-08-06 17:10:00+00:00,382243,San Diego Padres,Minnesota Twins,10
2014,2014-08-07 16:35:00+00:00,382258,Washington Nationals,New York Mets,13
2014,2014-08-08 20:05:00+00:00,382272,Tampa Bay Rays,Chicago Cubs,10
2014,2014-08-09 17:07:00+00:00,382279,Toronto Blue Jays,Detroit Tigers,10
2014,2014-08-09 23:05:00+00:00,382283,New York Mets,Philadelphia Phillies,11
2014,2014-08-09 23:10:00+00:00,382289,Washington Nationals,Atlanta Braves,11
2014,2014-08-10 01:05:00+00:00,382275,Los Angeles Angels,Boston Red Sox,19
2014,2014-08-10 01:10:00+00:00,382276,Chicago White Sox,Seattle Mariners,10
2014,2014-08-10 17:07:00+00:00,382294,Toronto Blue Jays,Detroit Tigers,19
2014,2014-08-10 18:20:00+00:00,382302,Chicago Cubs,Tampa Bay Rays,12
2014,2014-08-10 20:10:00+00:00,382293,Colorado Rockies,Arizona Diamondbacks,10
2014,2014-08-13 00:05:00+00:00,382328,Texas Rangers,Tampa Bay Rays,14
2014,2014-08-13 20:10:00+00:00,382316,Arizona Diamondbacks,Cleveland Indians,12
2014,2014-09-12 17:05:00+00:00,382324,Baltimore Orioles,New York Yankees,11
2014,2014-08-13 02:15:00+00:00,382318,Chicago White Sox,San Francisco Giants,10
2014,2014-08-13 20:10:00+00:00,382316,Arizona Diamondbacks,Cleveland Indians,12
2014,2014-08-14 23:10:00+00:00,382346,Miami Marlins,Arizona Diamondbacks,10
2014,2014-08-15 23:05:00+00:00,382358,Cleveland Indians,Baltimore Orioles,11
2014,2014-08-15 23:10:00+00:00,382361,Houston Astros,Boston Red Sox,10
2014,2014-08-16 02:15:00+00:00,382366,Philadelphia Phillies,San Francisco Giants,10
2014,2014-08-17 21:05:00+00:00,382397,Washington Nationals,Pittsburgh Pirates,11
2014,2014-08-18 23:05:00+00:00,382402,Washington Nationals,Arizona Diamondbacks,11
2014,2014-08-19 00:15:00+00:00,382406,St. Louis Cardinals,Cincinnati Reds,10
2014,2014-08-19 23:10:00+00:00,382422,Miami Marlins,Texas Rangers,10
2014,2014-08-19 23:10:00+00:00,382415,Detroit Tigers,Tampa Bay Rays,11
2014,2014-08-22 23:10:00+00:00,382448,Atlanta Braves,Cincinnati Reds,12
2014,2014-08-23 17:07:00+00:00,382476,Toronto Blue Jays,Tampa Bay Rays,10
2014,2014-08-23 23:05:00+00:00,382475,St. Louis Cardinals,Philadelphia Phillies,12
2014,2014-08-24 00:10:00+00:00,382469,Colorado Rockies,Miami Marlins,13
2014,2014-08-24 17:05:00+00:00,382480,New York Yankees,Chicago White Sox,10
2014,2014-08-24 17:07:00+00:00,382491,Tampa Bay Rays,Toronto Blue Jays,10
2014,2014-08-25 23:07:00+00:00,382492,Boston Red Sox,Toronto Blue Jays,10
2014,2014-08-26 23:07:00+00:00,382502,Boston Red Sox,Toronto Blue Jays,11
2014,2014-08-27 00:10:00+00:00,382504,Cleveland Indians,Chicago White Sox,10
2014,2014-08-28 01:10:00+00:00,382523,San Diego Padres,Milwaukee Brewers,10
2014,2014-08-29 00:10:00+00:00,382535,Minnesota Twins,Kansas City Royals,10
2014,2014-08-29 02:05:00+00:00,382537,Los Angeles Angels,Oakland Athletics,10
2014,2014-08-30 02:10:00+00:00,382546,San Diego Padres,Los Angeles Dodgers,12
2014,2014-08-30 23:10:00+00:00,382558,Cleveland Indians,Kansas City Royals,11
2014,2014-08-31 00:40:00+00:00,382561,San Diego Padres,Los Angeles Dodgers,10
2014,2014-09-22 22:05:00+00:00,382573,Cleveland Indians,Kansas City Royals,10
2014,2014-09-01 17:10:00+00:00,382586,Tampa Bay Rays,Boston Red Sox,10
2014,2014-09-03 00:10:00+00:00,382600,Chicago White Sox,Minnesota Twins,10
2014,2014-09-03 19:10:00+00:00,382626,Washington Nationals,Los Angeles Dodgers,14
2014,2014-09-04 23:10:00+00:00,382633,Toronto Blue Jays,Tampa Bay Rays,10
2014,2014-09-04 23:05:00+00:00,381682,Detroit Tigers,Cleveland Indians,11
2014,2014-09-05 23:05:00+00:00,382642,Philadelphia Phillies,Washington Nationals,11
2014,2014-09-06 19:00:00+00:00,382643,Pittsburgh Pirates,Chicago Cubs,11
2014,2014-09-05 23:05:00+00:00,382638,Cleveland Indians,Chicago White Sox,10
