game_id,year,team_name,pitcher_old,pitcher_new
380822,2014,Boston Red Sox,Clay Buchholz,Burke Badenhop
380822,2014,Baltimore Orioles,Darren O'Day,Brian Matusz
381150,2014,New York Yankees,Chase Whitley,Dellin Betances
381150,2014,New York Mets,Scott Rice,Jeurys Familia
381150,2014,New York Mets,Jeurys Familia,Josh Edgin
381150,2014,New York Yankees,Adam Warren,David Robertson
382588,2014,Chicago Cubs,Jacob Turner,Blake Parker
382588,2014,Milwaukee Brewers,Zach Duke,Jeremy Jeffress
381372,2014,Pittsburgh Pirates,Brandon Cumpton,Jeanmar Gómez
381979,2014,Los Angeles Dodgers,Dan Haren,Chris Perez
381979,2014,St. Louis Cardinals,Lance Lynn,Seth Maness
382272,2014,Chicago Cubs,Tsuyoshi Wada,Brian Schlitter
382272,2014,Chicago Cubs,Brian Schlitter,Wesley Wright
382272,2014,Chicago Cubs,Wesley Wright,Justin Grimm
381375,2014,Tampa Bay Rays,Jake Odorizzi,Cesár Ramos
380826,2014,Cleveland Indians,Zach McAllister,Marc Rzepczynski
380826,2014,Kansas City Royals,Jeremy Guthrie,Kelvin Herrera
382859,2014,Tampa Bay Rays,Nate Karns,Alex Colomé
382859,2014,Chicago White Sox,Daniel Webb,Scott Snodgress
382859,2014,Chicago White Sox,Scott Snodgress,Ronald Belisario
381973,2014,Chicago Cubs,Edwin Jackson,James Russell
381973,2014,Chicago Cubs,James Russell,Brian Schlitter
381973,2014,Chicago Cubs,Brian Schlitter,Zac Rosscup
381145,2014,Baltimore Orioles,Wei-Yin Chen,Darren O'Day
381145,2014,Kansas City Royals,Yordano Ventura,Tim Collins
381145,2014,Kansas City Royals,Louis Coleman,Kelvin Herrera
381145,2014,Baltimore Orioles,Troy Patton,Ryan Webb
382587,2014,Cleveland Indians,Corey Kluber,Kyle Crockett
382587,2014,Cleveland Indians,Zach McAllister,Nick Hagadone
382862,2014,Detroit Tigers,Rick Porcello,Jim Johnson
382862,2014,Detroit Tigers,Jim Johnson,Blaine Hardy
382862,2014,Kansas City Royals,Jeremy Guthrie,Kelvin Herrera
382862,2014,Detroit Tigers,Phil Coke,Joakim Soria
381153,2014,Tampa Bay Rays,Erik Bedard,Brandon Gomes
381153,2014,Tampa Bay Rays,Brandon Gomes,Jake McGee
381153,2014,Los Angeles Angels,Tyler Skaggs,Kevin Jepsen
381153,2014,Tampa Bay Rays,Jake McGee,Joel Peralta
381153,2014,Tampa Bay Rays,Grant Balfour,Brad Boxberger
380820,2014,Washington Nationals,Tanner Roark,Drew Storen
380820,2014,Washington Nationals,Tyler Clippard,Xavier Cedeño
382593,2014,Seattle Mariners,Chris Young,Lucas Luetge
382593,2014,Seattle Mariners,Joe Beimel,Carson Smith
381972,2014,Baltimore Orioles,Chris Tillman,Tommy Hunter
381362,2014,Los Angeles Angels,Tyler Skaggs,Joe Smith
381362,2014,Los Angeles Angels,Joe Smith,Kevin Jepsen
381362,2014,Los Angeles Angels,Michael Kohn,Jarrett Grube
381149,2014,Miami Marlins,Nathan Eovaldi,Brad Hand
381149,2014,San Francisco Giants,Matt Cain,Jeremy Affeldt
382271,2014,St. Louis Cardinals,Justin Masterson,Nick Greenwood
382271,2014,Baltimore Orioles,Chris Tillman,Brian Matusz
380824,2014,Pittsburgh Pirates,Francisco Liriano,Justin Wilson
380824,2014,Cincinnati Reds,Manny Parra,J.J. Hoover
381366,2014,Arizona Diamondbacks,Brandon McCarthy,Joe Thatcher
381366,2014,Cincinnati Reds,Johnny Cueto,Manny Parra
381366,2014,Cincinnati Reds,Manny Parra,Jonathan Broxton
382867,2014,Seattle Mariners,Hisashi Iwakuma,Carson Smith
382867,2014,Houston Astros,Kevin Chapman,Jose Veras
382867,2014,Seattle Mariners,Dominic Leone,Charlie Furbush
382867,2014,Seattle Mariners,Charlie Furbush,Yoervis Medina
381983,2014,Los Angeles Angels,Jered Weaver,Mike Morin
381983,2014,Los Angeles Angels,Mike Morin,Joe Thatcher
381983,2014,Seattle Mariners,Joe Beimel,Yoervis Medina
381983,2014,Seattle Mariners,Yoervis Medina,Charlie Furbush
381983,2014,Seattle Mariners,Charlie Furbush,Danny Farquhar
381983,2014,Los Angeles Angels,Cory Rasmus,Héctor Santiago
382268,2014,New York Mets,Dana Eveland,Jenrry Mejia
382585,2014,Arizona Diamondbacks,Trevor Cahill,Eury De La Rosa
382861,2014,Minnesota Twins,Anthony Swarzak,Ryan Pressly
382861,2014,Minnesota Twins,Ryan Pressly,Aaron Thompson
380823,2014,Detroit Tigers,Aníbal Sánchez,Ian Krol
380823,2014,Chicago White Sox,John Danks,Ronald Belisario
380823,2014,Detroit Tigers,Evan Reed,Justin Miller
381161,2014,Chicago Cubs,James Russell,Justin Grimm
381981,2014,San Diego Padres,Dale Thayer,Alex Torres
381368,2014,Seattle Mariners,Chris Young,Charlie Furbush
381368,2014,Seattle Mariners,Charlie Furbush,Dominic Leone
381368,2014,Detroit Tigers,Al Alburquerque,Ian Krol
380831,2014,New York Mets,Jenrry Mejia,Scott Rice
380831,2014,New York Mets,Scott Rice,Carlos Torres
382262,2014,Cleveland Indians,Trevor Bauer,Nick Hagadone
382262,2014,Cleveland Indians,Nick Hagadone,John Axford
382262,2014,New York Yankees,David Huff,Shawn Kelley
382262,2014,Cleveland Indians,John Axford,Marc Rzepczynski
382262,2014,Cleveland Indians,Marc Rzepczynski,Bryan Shaw
382262,2014,New York Yankees,Shawn Kelley,Adam Warren
382262,2014,New York Yankees,Adam Warren,Rich Hill
382262,2014,Cleveland Indians,Josh Tomlin,Cody Allen
381243,2014,San Francisco Giants,David Huff,Jeremy Affeldt
381243,2014,Colorado Rockies,Christian Friedrich,Adam Ottavino
382863,2014,Los Angeles Dodgers,Chris Perez,Paco Rodríguez
381382,2014,Cleveland Indians,Josh Tomlin,Josh Outman
381382,2014,Cleveland Indians,Bryan Shaw,Marc Rzepczynski
381989,2014,New York Yankees,Shawn Kelley,Matt Thornton
382594,2014,Colorado Rockies,Franklin Morales,Yohan Flande
382594,2014,San Francisco Giants,Tim Hudson,Javier López
382594,2014,San Francisco Giants,Javier López,Jean Machi
382594,2014,Colorado Rockies,Rex Brothers,Adam Ottavino
382264,2014,Detroit Tigers,Aníbal Sánchez,Blaine Hardy
382264,2014,Detroit Tigers,Blaine Hardy,Al Alburquerque
382264,2014,Toronto Blue Jays,Casey Janssen,Aaron Loup
382869,2014,Los Angeles Angels,Cory Rasmus,Mike Morin
382869,2014,Texas Rangers,Michael Kirkman,Shawn Tolleson
382869,2014,Los Angeles Angels,Huston Street,Yoslan Herrera
380827,2014,Miami Marlins,Tom Koehler,Mike Dunn
380827,2014,Miami Marlins,Mike Dunn,AJ Ramos
380737,2014,Detroit Tigers,Blaine Hardy,Phil Coke
380737,2014,Detroit Tigers,Phil Coke,Corey Knebel
380737,2014,Cleveland Indians,Corey Kluber,Bryan Shaw
381163,2014,Cleveland Indians,Zach McAllister,Kyle Crockett
381163,2014,Cleveland Indians,Kyle Crockett,C.C. Lee
382596,2014,Los Angeles Dodgers,Roberto Hernandez,Chris Perez
382596,2014,Washington Nationals,Gio González,Drew Storen
382596,2014,Washington Nationals,Drew Storen,Matt Thornton
382001,2014,Texas Rangers,Ryan Feierabend,Roman Mendez
382001,2014,Toronto Blue Jays,Brett Cecil,Dustin McGowan
380821,2014,Arizona Diamondbacks,Bronson Arroyo,J.J. Putz
381385,2014,New York Yankees,David Robertson,Matt Daley
381385,2014,New York Yankees,Matt Daley,Matt Thornton
381157,2014,Cincinnati Reds,Alfredo Simon,Manny Parra
382866,2014,Philadelphia Phillies,A.J. Burnett,Cesar Jimenez
382866,2014,Oakland Athletics,Scott Kazmir,Dan Otero
382866,2014,Philadelphia Phillies,Cesar Jimenez,Luis García
382595,2014,Kansas City Royals,Yordano Ventura,Kelvin Herrera
382595,2014,Texas Rangers,Shawn Tolleson,Alex Claudio
382857,2014,Arizona Diamondbacks,Wade Miley,Randall Delgado
382857,2014,Colorado Rockies,Christian Bergman,Franklin Morales
382857,2014,Colorado Rockies,Rex Brothers,Adam Ottavino
382274,2014,Atlanta Braves,Anthony Varvaro,Jordan Walden
380829,2014,Milwaukee Brewers,Wily Peralta,Will Smith
381158,2014,Boston Red Sox,Burke Badenhop,Edward Mujica
381158,2014,Detroit Tigers,Max Scherzer,Evan Reed
381158,2014,Detroit Tigers,Evan Reed,Ian Krol
382601,2014,Baltimore Orioles,Darren O'Day,Brad Brach
382601,2014,Cincinnati Reds,Logan Ondrusek,Manny Parra
381378,2014,Atlanta Braves,Aaron Harang,Alex Wood
